date,Hour,GMTHour,ScheduledDepartures,DeparturesFor MetricComputation,DelayedGateDepartures,% DelayedGateDepartures,AverageMinutesOf DelayPer DelayedGateDeparture,ScheduledArrivals,ArrivalsFor MetricComputation,DelayedGateArrivals,% DelayedGateArrivals,AverageMinutesOf DelayPer DelayedGateArrival
1-Sep-19,0,4,9,8,3,37.5,38.67,11,13,0,0,0
1-Sep-19,1,5,10,9,0,0,0,3,1,1,100,56
1-Sep-19,2,6,4,5,0,0,0,1,4,0,0,0
1-Sep-19,3,7,1,0,0,0,0,3,3,0,0,0
1-Sep-19,4,8,1,1,0,0,0,1,1,0,0,0
1-Sep-19,5,9,12,13,4,30.77,77.5,19,20,1,5,16
1-Sep-19,6,10,17,17,1,5.88,198,23,22,2,9.09,21
1-Sep-19,7,11,32,34,4,11.76,24.75,26,27,2,7.41,16.5
1-Sep-19,8,12,42,43,4,9.3,61.75,16,14,0,0,0
1-Sep-19,9,13,30,30,3,10,21.33,20,21,3,14.29,47
1-Sep-19,10,14,20,22,2,9.09,76,25,25,4,16,43.75
1-Sep-19,11,15,35,35,5,14.29,35.2,22,24,3,12.5,43
1-Sep-19,12,16,22,21,5,23.81,71,27,29,4,13.79,32.5
1-Sep-19,13,17,24,25,3,12,34,39,40,8,20,44.38
1-Sep-19,14,18,29,29,7,24.14,52.29,45,43,5,11.63,35.4
1-Sep-19,15,19,26,27,6,22.22,35.17,43,42,6,14.29,28.33
1-Sep-19,16,20,33,32,3,9.38,24.33,33,29,2,6.9,30
1-Sep-19,17,21,30,31,5,16.13,34,34,34,1,2.94,22
1-Sep-19,18,22,42,39,10,25.64,30.8,33,34,8,23.53,35.13
1-Sep-19,19,23,39,39,6,15.38,26.5,25,23,4,17.39,49.25
1-Sep-19,20,0,30,29,6,20.69,44.5,34,33,2,6.06,49.5
1-Sep-19,21,1,38,35,6,17.14,24.83,19,20,1,5,18
1-Sep-19,22,2,23,20,2,10,27.5,41,38,4,10.53,45.25
1-Sep-19,23,3,21,16,5,31.25,52.4,23,22,4,18.18,91.75
2-Sep-19,0,4,7,6,2,33.33,24.5,12,12,1,8.33,17
2-Sep-19,1,5,10,9,2,22.22,28.5,2,4,0,0,0
2-Sep-19,2,6,5,5,2,40,61.5,1,1,0,0,0
2-Sep-19,3,7,1,1,0,0,0,3,4,1,25,16
2-Sep-19,4,8,1,2,0,0,0,1,3,0,0,0
2-Sep-19,5,9,14,13,2,15.38,21,19,18,2,11.11,30
2-Sep-19,6,10,18,18,2,11.11,30.5,23,22,4,18.18,41
2-Sep-19,7,11,34,34,2,5.88,50,28,28,3,10.71,30.33
2-Sep-19,8,12,46,46,5,10.87,31.8,19,15,2,13.33,17.5
2-Sep-19,9,13,30,30,4,13.33,66.75,23,26,1,3.85,35
2-Sep-19,10,14,22,22,3,13.64,28,22,21,1,4.76,26
2-Sep-19,11,15,36,33,3,9.09,93,23,25,3,12,73
2-Sep-19,12,16,18,16,3,18.75,117,32,31,1,3.23,23
2-Sep-19,13,17,26,24,6,25,113.33,38,39,9,23.08,67
2-Sep-19,14,18,35,34,15,44.12,110,40,36,21,58.33,127.52
2-Sep-19,15,19,25,22,13,59.09,115.69,43,37,25,67.57,176.84
2-Sep-19,16,20,35,27,15,55.56,94.13,35,34,23,67.65,128.17
2-Sep-19,17,21,28,27,14,51.85,77.71,39,38,25,65.79,135.96
2-Sep-19,18,22,43,38,24,63.16,82.25,33,35,19,54.29,107.37
